,pontoId,lat,lon,lat_pred,lon_pred,erro_loc
496,2609,-8.064489,-34.894333,-8.064395,-34.894382,11.76606998926678
754,974,-8.072412,-34.893745,-8.072292315789472,-34.893657657894735,16.42383960798262
1197,1799,-8.069052000000001,-34.888424,-8.068994,-34.888538,14.115212650281146
899,927,-8.07253,-34.896248,-8.072407,-34.896358,18.2736758232848
1148,1172,-8.071087,-34.891975,-8.07109,-34.891979,0.5526298198423737
1125,571,-8.07432,-34.900345,-8.074211473684212,-34.900530184210524,23.698641813692035
1392,2875,-8.062078,-34.901878,-8.061922000000001,-34.901936,18.490210961708442
740,2474,-8.065656,-34.887474,-8.064615684210526,-34.88793055263157,126.16593421000682
884,2866,-8.062255,-34.88792,-8.062397,-34.887764000000004,23.33741539047374
1063,657,-8.073812,-34.898548,-8.073872,-34.89875,23.225231555818265
1284,211,-8.076408,-34.899731,-8.076324000000001,-34.899753999999994,9.680548102044769
86,1258,-8.070692,-34.900883,-8.071021,-34.900837,36.94359397319956
1335,1812,-8.069006,-34.899876,-8.068454,-34.8993847631579,81.83246727359007
1438,2180,-8.067159,-34.893925,-8.067173,-34.893955,3.6524662225323103
391,1186,-8.070982,-34.891933,-8.07109,-34.891979,13.037298350829214
83,2111,-8.067933,-34.89233,-8.067917,-34.892326000000004,1.8333863418193788
557,385,-8.075521,-34.900009000000004,-8.075171052631578,-34.900530184210524,69.35034532627864
1391,1165,-8.071119,-34.891998,-8.071203,-34.892014,9.508006221661404
519,375,-8.075582,-34.89315,-8.075448,-34.893459,37.15022607739358
503,1074,-8.071855000000001,-34.890694,-8.070661999999999,-34.891777000000005,178.41959779045135
1088,1083,-8.071765,-34.891987,-8.071995,-34.892029,25.997631675050883
660,1200,-8.070891,-34.896839,-8.070902,-34.896846999999994,1.507722140106337
879,2902,-8.061283999999999,-34.903976,-8.06173694736842,-34.90396644736842,50.39224313190338
498,1270,-8.070659,-34.892033000000005,-8.07068,-34.892047999999996,2.860932326639242
1254,2383,-8.065833,-34.887989000000005,-8.065814,-34.887939,5.89810000458342
693,131,-8.076878,-34.899547999999996,-8.076097,-34.899826000000004,92.1074029884847
308,432,-8.075367,-34.900040000000004,-8.075467999999999,-34.900024,11.371556413427026
736,2822,-8.06272,-34.901363,-8.062807000000001,-34.901356,9.707654068275469
593,1692,-8.069324,-34.89904,-8.069413578947369,-34.8993847631579,39.25387964342242
457,1238,-8.070745,-34.892376,-8.070737,-34.892319,6.340060653531957
1177,2115,-8.067905999999999,-34.896679,-8.067200999999999,-34.896770000000004,79.05483078798787
592,497,-8.074799,-34.900253,-8.074397,-34.90033,45.51135819943983
895,796,-8.072941,-34.896392999999996,-8.072292315789472,-34.89709392105263,105.66209278183247
1464,2286,-8.066605000000001,-34.89539,-8.066794999999999,-34.896458,119.50161781219448
244,1397,-8.070124,-34.890696999999996,-8.070537,-34.890694,45.93910916956492
551,2929,-8.060599,-34.905338,-8.060549,-34.905396,8.469447556156
1026,2871,-8.062217,-34.88805,-8.062397,-34.887764000000004,37.32205464713112
916,803,-8.072932000000002,-34.890682,-8.073251894736842,-34.89136681578947,83.38944938822723
1201,1810,-8.069011,-34.899857,-8.068454,-34.8993847631579,80.88964454114482
1179,1907,-8.06873,-34.889065,-8.068994,-34.888538,65.04361091828525
1121,1516,-8.06978,-34.890465,-8.070103999999999,-34.889866,75.16915810612996
1252,2182,-8.067150999999999,-34.894165,-8.066756,-34.892712,165.93980962412815
1487,689,-8.073621000000001,-34.897831,-8.073685000000001,-34.898045,24.618926623708624
581,942,-8.072495,-34.892353,-8.071845,-34.892196999999996,74.312529703869
436,1927,-8.068686,-34.898205,-8.068454,-34.89823934210526,26.08099946209108
1099,1762,-8.069154,-34.88821,-8.069208999999999,-34.888126,11.090664714895516
207,1098,-8.071628,-34.90078,-8.07152,-34.900784,12.020896085838851
256,127,-8.076911,-34.899551,-8.076188,-34.899788,84.54852263404703
141,2139,-8.067629,-34.896716999999995,-8.067552000000001,-34.89674,8.931403073518558
297,829,-8.072861,-34.896640999999995,-8.072986,-34.896614,14.218124151424286
